iter	Passed	Remaining
246	3066	21764
247	3080	21759
248	3091	21742
249	3104	21728
250	3116	21715
251	3128	21697
252	3139	21680
253	3151	21663
254	3163	21645
255	3175	21632
256	3186	21613
257	3198	21598
258	3210	21583
259	3223	21570
260	3234	21552
261	3246	21537
262	3257	21516
263	3271	21512
264	3283	21499
265	3295	21484
266	3307	21470
267	3320	21457
268	3332	21442
269	3346	21445
270	3362	21451
271	3374	21437
272	3387	21427
273	3399	21413
274	3410	21393
275	3423	21383
276	3435	21370
277	3448	21363
278	3460	21348
279	3474	21344
280	3487	21337
281	3500	21324
282	3512	21311
283	3524	21295
284	3535	21277
285	3547	21258
286	3558	21239
287	3570	21222
288	3582	21211
289	3595	21201
290	3607	21184
291	3618	21167
292	3629	21147
293	3642	21138
294	3657	21140
295	3675	21159
296	3692	21170
297	3705	21163
298	3719	21159
299	3733	21155
300	3747	21150
301	3760	21145
302	3774	21138
303	3788	21134
304	3801	21125
305	3814	21119
306	3828	21113
307	3844	21120
308	3860	21124
309	3873	21117
310	3887	21112
311	3902	21114
312	3917	21116
313	3932	21115
314	3945	21103
315	3957	21089
316	3970	21080
317	3982	21065
318	3994	21049
319	4006	21036
320	4019	21021
321	4030	21001
322	4041	20982
323	4053	20967
324	4064	20948
325	4077	20935
326	4090	20925
327	4102	20911
328	4114	20897
329	4125	20878
330	4137	20863
331	4149	20846
332	4161	20832
333	4173	20817
334	4185	20800
335	4197	20785
336	4209	20773
337	4221	20757
338	4233	20742
339	4245	20726
340	4256	20707
341	4268	20691
342	4279	20674
343	4293	20670
344	4305	20655
345	4317	20638
346	4328	20621
347	4340	20606
348	4352	20588
349	4364	20573
350	4376	20563
351	4388	20548
352	4401	20535
353	4412	20516
354	4424	20504
355	4436	20487
356	4448	20471
357	4461	20462
358	4474	20454
359	4487	20442
360	4500	20431
361	4512	20416
362	4525	20408
363	4537	20393
364	4549	20378
365	4561	20362
366	4574	20352
367	4586	20338
368	4599	20328
369	4610	20311
370	4622	20297
371	4635	20285
372	4647	20272
373	4659	20256
374	4671	20241
375	4683	20229
376	4696	20216
377	4709	20208
378	4723	20200
379	4734	20183
380	4745	20166
381	4757	20151
382	4770	20142
383	4782	20125
384	4794	20110
385	4805	20094
386	4817	20081
387	4830	20067
388	4841	20051
389	4853	20036
390	4865	20021
391	4877	20006
392	4888	19990
393	4902	19981
394	4915	19971
395	4926	19956
396	4938	19939
397	4951	19932
398	4963	19917
399	4976	19904
400	4987	19888
401	4999	19873
402	5011	19859
403	5022	19842
404	5034	19826
405	5046	19811
406	5057	19796
407	5069	19780
408	5081	19765
409	5093	19752
410	5106	19743
411	5119	19734
412	5131	19718
413	5143	19703
414	5155	19689
415	5166	19672
416	5178	19657
417	5191	19649
418	5203	19636
419	5215	19621
420	5227	19604
421	5238	19588
422	5250	19573
423	5261	19556
424	5273	19544
425	5285	19527
426	5297	19513
427	5310	19505
428	5323	19495
429	5335	19481
430	5347	19466
431	5359	19451
432	5371	19437
433	5382	19423
434	5394	19407
435	5406	19394
436	5418	19380
437	5430	19366
438	5441	19350
439	5457	19348
440	5470	19339
441	5484	19332
442	5497	19322
443	5510	19312
444	5523	19302
445	5535	19287
446	5548	19278
447	5560	19264
448	5573	19251
449	5585	19237
450	5597	19224
451	5609	19211
452	5621	19196
453	5633	19182
454	5645	19170
455	5656	19153
456	5668	19137
457	5679	19120
458	5691	19107
459	5702	19091
460	5715	19081
461	5728	19071
462	5741	19060
463	5754	19048
464	5766	19035
465	5778	19022
466	5790	19009
467	5805	19003
468	5818	18993
469	5832	18985
470	5846	18980
471	5861	18976
472	5875	18966
473	5891	18966
474	5908	18968
475	5925	18970
476	5940	18966
477	5955	18963
478	5970	18959
479	5986	18957
480	6001	18951
481	6015	18946
482	6031	18945
483	6047	18943
484	6062	18938
485	6078	18937
486	6093	18932
487	6108	18926
488	6123	18922
489	6137	18914
490	6153	18910
491	6167	18903
492	6181	18895
493	6195	18888
494	6210	18882
495	6225	18877
496	6237	18863
497	6250	18853
498	6264	18842
499	6277	18833
500	6290	18821
501	6303	18809
502	6316	18798
503	6329	18788
504	6342	18775
505	6353	18759
506	6365	18746
507	6378	18732
508	6390	18719
509	6401	18701
510	6413	18688
511	6425	18673
512	6438	18662
513	6451	18652
514	6465	18642
515	6479	18633
516	6492	18622
517	6504	18608
518	6517	18597
519	6530	18586
520	6544	18578
521	6557	18566
522	6571	18557
523	6584	18546
524	6598	18539
525	6612	18529
526	6625	18518
527	6639	18509
528	6652	18499
529	6666	18489
530	6680	18482
531	6694	18473
532	6707	18462
533	6721	18452
534	6735	18443
535	6749	18436
536	6763	18426
537	6776	18416
538	6789	18402
539	6801	18389
540	6813	18374
541	6825	18361
542	6838	18348
543	6849	18333
544	6862	18320
545	6874	18306
546	6886	18292
547	6898	18279
548	6910	18264
549	6922	18249
550	6933	18233
551	6947	18223
552	6959	18209
553	6970	18195
554	6983	18181
555	6995	18167
556	7007	18155
557	7019	18139
558	7030	18124
559	7042	18110
560	7054	18094
561	7065	18079
562	7077	18065
563	7089	18050
564	7101	18036
565	7113	18023
566	7125	18009
567	7137	17994
568	7148	17978
569	7161	17965
570	7175	17956
571	7186	17941
572	7198	17926
573	7210	17912
574	7221	17897
575	7233	17883
576	7245	17867
577	7256	17853
578	7268	17839
579	7281	17827
580	7294	17814
581	7305	17800
582	7318	17786
583	7329	17770
584	7341	17757
585	7353	17744
586	7365	17730
587	7378	17719
588	7394	17714
589	7408	17704
590	7420	17692
591	7434	17681
592	7447	17671
593	7460	17658
594	7472	17645
595	7484	17631
596	7496	17616
597	7508	17603
598	7520	17588
599	7532	17575
600	7546	17567
601	7559	17554
602	7574	17547
603	7590	17543
604	7605	17536
605	7618	17524
606	7629	17508
607	7640	17493
608	7652	17479
609	7665	17466
610	7677	17454
611	7690	17441
612	7701	17425
613	7712	17410
614	7724	17395
615	7737	17383
616	7749	17370
617	7761	17356
618	7773	17341
619	7786	17330
620	7798	17316
621	7810	17303
622	7821	17288
623	7833	17274
624	7846	17262
625	7859	17250
626	7871	17236
627	7883	17223
628	7896	17211
629	7909	17199
630	7921	17186
631	7933	17172
632	7944	17157
633	7957	17146
634	7970	17133
635	7984	17123
636	7997	17112
637	8009	17099
638	8022	17086
639	8036	17077
640	8048	17064
641	8060	17050
642	8073	17037
643	8085	17024
644	8097	17010
645	8109	16997
646	8122	16985
647	8135	16973
648	8147	16960
649	8160	16948
650	8172	16935
651	8185	16924
652	8198	16912
653	8212	16902
654	8224	16888
655	8236	16874
656	8248	16860
657	8261	16848
658	8273	16834
659	8285	16822
660	8298	16810
661	8310	16797
662	8323	16785
663	8334	16770
664	8347	16757
665	8360	16745
666	8372	16733
667	8384	16719
668	8398	16708
669	8410	16695
670	8423	16684
671	8436	16672
672	8450	16662
673	8464	16652
674	8476	16639
675	8489	16626
676	8501	16612
677	8514	16601
678	8526	16588
679	8538	16575
680	8550	16561
681	8563	16548
682	8575	16535
683	8586	16520
684	8600	16509
685	8611	16495
686	8623	16481
687	8635	16468
688	8647	16454
689	8659	16440
690	8671	16427
691	8683	16412
692	8694	16398
693	8707	16386
694	8719	16372
695	8730	16357
696	8742	16343
697	8754	16329
698	8765	16314
699	8776	16299
700	8788	16285
701	8801	16273
702	8814	16263
703	8827	16249
704	8838	16235
705	8850	16222
706	8863	16209
707	8875	16197
708	8888	16184
709	8899	16170
710	8911	16155
711	8922	16141
712	8934	16127
713	8947	16115
714	8960	16103
715	8972	16090
716	8984	16077
717	8996	16063
718	9011	16054
719	9023	16041
720	9035	16028
721	9047	16014
722	9059	16001
723	9071	15988
724	9083	15974
725	9096	15962
726	9108	15949
727	9121	15936
728	9134	15926
729	9147	15914
730	9159	15900
731	9172	15888
732	9183	15873
733	9195	15859
734	9207	15847
735	9220	15835
736	9232	15821
737	9244	15808
738	9256	15794
739	9268	15781
740	9280	15767
741	9291	15753
742	9304	15740
743	9315	15726
744	9327	15713
745	9339	15699
746	9351	15686
747	9363	15672
748	9375	15658
749	9386	15644
750	9399	15631
751	9411	15619
752	9425	15609
753	9439	15599
754	9451	15585
755	9463	15571
756	9475	15558
757	9487	15545
758	9499	15532
759	9510	15517
760	9523	15505
761	9535	15492
762	9546	15477
763	9558	15463
764	9570	15449
765	9581	15435
766	9593	15422
767	9605	15408
768	9618	15397
769	9630	15384
770	9642	15371
771	9655	15358
772	9667	15345
773	9680	15333
774	9691	15319
775	9703	15305
776	9715	15292
777	9727	15278
778	9738	15264
779	9750	15251
780	9762	15237
781	9773	15223
782	9785	15208
783	9796	15194
784	9809	15182
785	9821	15169
786	9833	15156
787	9845	15142
788	9857	15130
789	9869	15116
790	9881	15103
791	9893	15089
792	9904	15075
793	9915	15061
794	9927	15048
795	9939	15033
796	9951	15020
797	9964	15009
798	9977	14996
799	9989	14983
800	10001	14971
801	10013	14958
802	10027	14947
803	10039	14934
804	10052	14922
805	10064	14908
806	10075	14895
807	10087	14881
808	10099	14868
809	10110	14854
810	10123	14841
811	10140	14836
812	10151	14821
813	10163	14807
814	10174	14793
815	10186	14780
816	10198	14766
817	10209	14752
818	10221	14739
819	10234	14728
820	10247	14715
821	10259	14702
822	10271	14689
823	10282	14674
824	10295	14662
825	10307	14649
826	10319	14636
827	10330	14622
828	10342	14608
829	10353	14594
830	10365	14580
831	10376	14567
832	10388	14554
833	10400	14541
834	10414	14529
835	10427	14518
836	10442	14509
837	10455	14497
838	10466	14483
839	10478	14469
840	10489	14455
841	10500	14441
842	10512	14428
843	10524	14414
844	10536	14401
845	10547	14387
846	10558	14373
847	10570	14360
848	10582	14346
849	10594	14333
850	10606	14320
851	10618	14307
852	10630	14294
853	10644	14284
854	10656	14270
855	10668	14258
856	10680	14245
857	10692	14231
858	10704	14218
859	10715	14204
860	10727	14191
861	10739	14177
862	10751	14164
863	10762	14150
864	10774	14137
865	10785	14123
866	10797	14109
867	10808	14096
868	10820	14083
869	10832	14069
870	10845	14057
871	10857	14045
872	10869	14031
873	10881	14018
874	10893	14006
875	10906	13993
876	10919	13981
877	10930	13967
878	10941	13954
879	10953	13940
880	10965	13927
881	10977	13914
882	10989	13901
883	10999	13886
884	11011	13872
885	11023	13859
886	11034	13846
887	11047	13834
888	11059	13821
889	11072	13809
890	11083	13795
891	11095	13782
892	11107	13769
893	11120	13757
894	11131	13743
895	11143	13730
896	11154	13715
897	11165	13701
898	11177	13688
899	11189	13675
900	11200	13661
901	11212	13648
902	11223	13635
903	11235	13621
904	11246	13608
905	11260	13597
906	11271	13583
907	11283	13570
908	11295	13556
909	11306	13543
910	11317	13529
911	11329	13516
912	11341	13503
913	11353	13489
914	11365	13476
915	11376	13463
916	11389	13451
917	11402	13439
918	11416	13428
919	11430	13418
920	11444	13407
921	11457	13395
922	11470	13384
923	11484	13373
924	11497	13361
925	11510	13349
926	11524	13339
927	11537	13327
928	11550	13315
929	11563	13304
930	11577	13293
931	11591	13283
932	11605	13271
933	11618	13260
934	11633	13250
935	11647	13240
936	11661	13229
937	11675	13219
938	11689	13208
939	11702	13196
940	11716	13186
941	11729	13173
942	11742	13162
943	11755	13150
944	11766	13136
945	11778	13123
946	11789	13108
947	11800	13094
948	11811	13081
949	11823	13068
950	11835	13054
951	11846	13041
952	11858	13027
953	11872	13016
954	11884	13004
955	11895	12990
956	11907	12977
957	11919	12964
958	11931	12951
959	11943	12938
960	11954	12925
961	11965	12911
962	11977	12897
963	11989	12884
964	12000	12871
965	12012	12857
966	12023	12844
967	12035	12831
968	12047	12818
969	12059	12805
970	12072	12793
971	12084	12780
972	12096	12767
973	12107	12754
974	12119	12741
975	12131	12727
976	12142	12714
977	12154	12701
978	12167	12689
979	12178	12675
980	12189	12661
981	12200	12647
982	12213	12635
983	12224	12622
984	12236	12609
985	12248	12596
986	12259	12582
987	12272	12571
988	12285	12558
989	12296	12545
990	12308	12532
991	12320	12518
992	12333	12507
993	12349	12498
994	12364	12489
995	12380	12479
996	12394	12469
997	12408	12458
998	12422	12447
999	12434	12434
1000	12446	12421
1001	12458	12408
1002	12469	12395
1003	12482	12383
1004	12494	12369
1005	12506	12357
1006	12519	12345
1007	12532	12333
1008	12548	12324
1009	12560	12311
1010	12573	12300
1011	12587	12288
1012	12599	12276
1013	12610	12262
1014	12622	12249
1015	12633	12235
1016	12645	12222
1017	12657	12209
1018	12668	12196
1019	12680	12183
1020	12692	12170
1021	12705	12158
1022	12716	12145
1023	12728	12131
1024	12739	12118
1025	12751	12105
1026	12762	12091
1027	12774	12078
1028	12785	12065
1029	12797	12051
1030	12809	12039
1031	12821	12026
1032	12833	12013
1033	12846	12001
1034	12857	11988
1035	12869	11974
1036	12882	11963
1037	12894	11950
1038	12908	11939
1039	12919	11925
1040	12931	11913
1041	12943	11900
1042	12955	11887
1043	12968	11875
1044	12979	11861
1045	12990	11848
1046	13002	11834
1047	13014	11822
1048	13025	11808
1049	13037	11795
1050	13049	11782
1051	13061	11770
1052	13072	11756
1053	13084	11743
1054	13098	11733
1055	13111	11720
1056	13123	11707
1057	13134	11694
1058	13146	11681
1059	13158	11668
1060	13170	11655
1061	13182	11642
1062	13193	11629
1063	13205	11616
1064	13216	11603
1065	13229	11590
1066	13240	11577
1067	13252	11564
1068	13263	11551
1069	13275	11538
1070	13287	11525
1071	13298	11512
1072	13312	11500
1073	13326	11489
1074	13338	11477
1075	13352	11465
1076	13365	11454
1077	13378	11442
1078	13392	11431
1079	13406	11420
1080	13420	11409
1081	13433	11397
1082	13446	11385
1083	13460	11374
1084	13473	11362
1085	13487	11350
1086	13500	11339
1087	13514	11328
1088	13527	11316
1089	13541	11305
1090	13555	11293
1091	13567	11281
1092	13580	11269
1093	13593	11257
1094	13606	11245
1095	13620	11234
1096	13633	11222
1097	13646	11210
1098	13659	11198
1099	13671	11185
1100	13682	11172
1101	13694	11159
1102	13706	11146
1103	13719	11134
1104	13731	11121
1105	13742	11108
1106	13754	11095
1107	13766	11082
1108	13777	11069
1109	13789	11056
1110	13801	11043
1111	13812	11030
1112	13825	11018
1113	13836	11004
1114	13847	10991
1115	13859	10978
1116	13871	10965
1117	13882	10952
1118	13894	10939
1119	13906	10926
1120	13919	10914
1121	13932	10902
1122	13943	10889
1123	13956	10876
1124	13967	10863
1125	13979	10850
1126	13991	10838
1127	14003	10825
1128	14014	10811
1129	14025	10798
1130	14037	10785
1131	14049	10772
1132	14061	10759
1133	14073	10747
1134	14084	10733
1135	14095	10720
1136	14107	10708
1137	14118	10694
1138	14132	10682
1139	14144	10670
1140	14156	10657
1141	14168	10645
1142	14179	10631
1143	14191	10618
1144	14202	10605
1145	14214	10592
1146	14226	10579
1147	14238	10566
1148	14250	10554
1149	14262	10541
1150	14274	10528
1151	14285	10515
1152	14297	10502
1153	14309	10490
1154	14320	10477
1155	14333	10464
1156	14345	10452
1157	14356	10439
1158	14371	10428
1159	14384	10416
1160	14395	10403
1161	14407	10390
1162	14419	10377
1163	14430	10364
1164	14441	10350
1165	14453	10337
1166	14465	10325
1167	14476	10312
1168	14488	10299
1169	14500	10287
1170	14512	10274
1171	14524	10261
1172	14537	10249
1173	14550	10237
1174	14562	10224
1175	14574	10212
1176	14586	10199
1177	14598	10186
1178	14609	10173
1179	14621	10160
1180	14633	10148
1181	14645	10135
1182	14656	10122
1183	14668	10109
1184	14680	10096
1185	14692	10084
1186	14704	10071
1187	14715	10058
1188	14727	10045
1189	14739	10032
1190	14753	10021
1191	14764	10008
1192	14776	9995
1193	14787	9982
1194	14799	9969
1195	14811	9956
1196	14822	9943
1197	14834	9930
1198	14845	9917
1199	14857	9904
1200	14868	9891
1201	14879	9878
1202	14892	9866
1203	14903	9853
1204	14914	9840
1205	14927	9827
1206	14939	9815
1207	14951	9802
1208	14964	9790
1209	14975	9777
1210	14987	9764
1211	15000	9752
1212	15012	9740
1213	15024	9727
1214	15035	9714
1215	15047	9701
1216	15059	9688
1217	15072	9677
1218	15084	9664
1219	15096	9651
1220	15107	9638
1221	15119	9625
1222	15131	9613
1223	15142	9600
1224	15156	9588
1225	15167	9575
1226	15178	9562
1227	15190	9550
1228	15202	9536
1229	15214	9524
1230	15225	9511
1231	15238	9499
1232	15249	9486
1233	15261	9473
1234	15273	9461
1235	15285	9448
1236	15297	9435
1237	15309	9423
1238	15320	9410
1239	15332	9397
1240	15343	9384
1241	15358	9373
1242	15372	9361
1243	15385	9350
1244	15399	9338
1245	15411	9325
1246	15423	9313
1247	15435	9301
1248	15447	9288
1249	15459	9275
1250	15471	9263
1251	15482	9250
1252	15494	9237
1253	15505	9224
1254	15517	9211
1255	15528	9198
1256	15540	9185
1257	15552	9173
1258	15564	9160
1259	15576	9147
1260	15587	9134
1261	15598	9121
1262	15610	9109
1263	15621	9096
1264	15634	9084
1265	15647	9072
1266	15659	9059
1267	15671	9046
1268	15683	9034
1269	15694	9021
1270	15706	9008
1271	15719	8996
1272	15731	8983
1273	15742	8971
1274	15754	8958
1275	15767	8946
1276	15777	8933
1277	15790	8921
1278	15802	8908
1279	15814	8895
1280	15825	8882
1281	15837	8869
1282	15848	8856
1283	15858	8843
1284	15870	8830
1285	15883	8818
1286	15895	8806
1287	15906	8793
1288	15918	8780
1289	15929	8767
1290	15942	8755
1291	15953	8742
1292	15967	8730
1293	15979	8718
1294	15991	8706
1295	16005	8694
1296	16016	8681
1297	16028	8668
1298	16039	8655
1299	16051	8642
1300	16062	8630
1301	16074	8617
1302	16086	8604
1303	16097	8592
1304	16110	8579
1305	16122	8567
1306	16133	8554
1307	16145	8541
1308	16157	8529
1309	16170	8517
1310	16181	8504
1311	16193	8491
1312	16204	8478
1313	16216	8466
1314	16229	8453
1315	16241	8441
1316	16253	8429
1317	16266	8416
1318	16277	8404
1319	16290	8391
1320	16302	8379
1321	16313	8366
1322	16324	8353
1323	16337	8341
1324	16351	8330
1325	16365	8318
1326	16379	8307
1327	16393	8295
1328	16406	8283
1329	16419	8271
1330	16433	8259
1331	16446	8248
1332	16459	8236
1333	16472	8224
1334	16486	8212
1335	16500	8200
1336	16513	8188
1337	16526	8177
1338	16541	8165
1339	16556	8154
1340	16570	8143
1341	16585	8132
1342	16599	8120
1343	16613	8109
1344	16628	8098
1345	16644	8087
1346	16658	8075
1347	16671	8063
1348	16684	8051
1349	16696	8038
1350	16708	8026
1351	16720	8013
1352	16733	8001
1353	16746	7989
1354	16758	7977
1355	16770	7964
1356	16785	7953
1357	16798	7941
1358	16811	7929
1359	16824	7917
1360	16836	7904
1361	16848	7892
1362	16860	7879
1363	16872	7867
1364	16884	7854
1365	16896	7842
1366	16909	7830
1367	16921	7817
1368	16934	7805
1369	16947	7793
1370	16959	7780
1371	16973	7768
1372	16986	7757
1373	16999	7745
1374	17012	7733
1375	17025	7720
1376	17037	7708
1377	17050	7696
1378	17063	7683
1379	17074	7671
1380	17087	7659
1381	17099	7646
1382	17111	7634
1383	17124	7622
1384	17136	7609
1385	17147	7596
1386	17159	7583
1387	17172	7571
1388	17184	7559
1389	17197	7547
1390	17209	7534
1391	17221	7522
1392	17233	7509
1393	17245	7497
1394	17256	7484
1395	17268	7471
1396	17280	7458
1397	17292	7446
1398	17307	7435
1399	17321	7423
1400	17335	7411
1401	17350	7400
1402	17362	7388
1403	17374	7375
1404	17387	7363
1405	17401	7351
1406	17413	7339
1407	17424	7326
1408	17437	7314
1409	17450	7301
1410	17463	7289
1411	17475	7277
1412	17489	7265
1413	17503	7253
1414	17516	7241
1415	17528	7229
1416	17540	7216
1417	17552	7204
1418	17564	7191
1419	17576	7179
1420	17588	7166
1421	17602	7154
1422	17615	7142
1423	17627	7130
1424	17640	7118
1425	17653	7105
1426	17667	7094
1427	17679	7081
1428	17692	7069
1429	17704	7057
1430	17739	7053
1431	17771	7049
1432	17791	7039
1433	17808	7028
1434	17819	7016
1435	17832	7003
1436	17843	6991
1437	17855	6978
1438	17867	6965
1439	17879	6952
1440	17890	6940
1441	17902	6927
1442	17914	6915
1443	17926	6902
1444	17939	6890
1445	17951	6877
1446	17964	6865
1447	17977	6853
1448	17990	6840
1449	18003	6828
1450	18016	6816
1451	18028	6804
1452	18040	6791
1453	18052	6779
1454	18064	6766
1455	18076	6753
1456	18088	6741
1457	18101	6729
1458	18114	6716
1459	18126	6704
1460	18138	6691
1461	18150	6679
1462	18164	6667
1463	18177	6655
1464	18189	6642
1465	18201	6629
1466	18213	6617
1467	18226	6605
1468	18238	6592
1469	18250	6580
1470	18262	6567
1471	18274	6555
1472	18287	6542
1473	18298	6529
1474	18309	6516
1475	18321	6504
1476	18332	6491
1477	18343	6478
1478	18356	6466
1479	18369	6454
1480	18381	6441
1481	18393	6429
1482	18405	6416
1483	18419	6404
1484	18432	6392
1485	18444	6379
1486	18456	6367
1487	18467	6354
1488	18479	6341
1489	18490	6329
1490	18502	6316
1491	18513	6303
1492	18525	6291
1493	18537	6278
1494	18550	6266
1495	18561	6253
1496	18572	6240
1497	18585	6228
1498	18598	6215
1499	18609	6203
1500	18623	6191
1501	18635	6178
1502	18647	6166
1503	18659	6153
1504	18670	6140
1505	18682	6128
1506	18694	6115
1507	18707	6103
1508	18718	6090
1509	18730	6078
1510	18741	6065
1511	18753	6052
1512	18765	6040
1513	18776	6027
1514	18787	6014
1515	18799	6002
1516	18811	5989
1517	18825	5977
1518	18837	5964
1519	18848	5952
1520	18860	5939
1521	18872	5927
1522	18883	5914
1523	18896	5902
1524	18908	5889
1525	18921	5877
1526	18933	5864
1527	18945	5852
1528	18956	5839
1529	18968	5826
1530	18980	5814
1531	18991	5801
1532	19003	5788
1533	19016	5776
1534	19029	5764
1535	19040	5751
1536	19053	5739
1537	19064	5726
1538	19076	5714
1539	19088	5701
1540	19101	5689
1541	19113	5676
1542	19125	5664
1543	19136	5651
1544	19147	5638
1545	19159	5626
1546	19171	5613
1547	19183	5601
1548	19195	5588
1549	19207	5576
1550	19218	5563
1551	19232	5551
1552	19244	5539
1553	19256	5526
1554	19271	5514
1555	19284	5502
1556	19298	5490
1557	19315	5479
1558	19331	5468
1559	19345	5456
1560	19359	5444
1561	19373	5432
1562	19387	5420
1563	19399	5408
1564	19412	5395
1565	19425	5383
1566	19440	5371
1567	19452	5359
1568	19464	5346
1569	19476	5334
1570	19487	5321
1571	19500	5309
1572	19512	5296
1573	19526	5284
1574	19538	5272
1575	19550	5259
1576	19563	5247
1577	19576	5235
1578	19589	5223
1579	19601	5210
1580	19613	5197
1581	19624	5185
1582	19637	5172
1583	19652	5161
1584	19664	5148
1585	19676	5136
1586	19689	5123
1587	19701	5111
1588	19713	5098
1589	19724	5086
1590	19737	5073
1591	19750	5061
1592	19763	5049
1593	19777	5037
1594	19789	5024
1595	19803	5012
1596	19817	5000
1597	19830	4988
1598	19845	4976
1599	19857	4964
1600	19873	4952
1601	19886	4940
1602	19900	4928
1603	19912	4916
1604	19924	4903
1605	19935	4890
1606	19948	4878
1607	19959	4865
1608	19971	4853
1609	19983	4840
1610	19996	4828
1611	20008	4815
1612	20020	4803
1613	20031	4790
1614	20044	4778
1615	20058	4766
1616	20070	4753
1617	20082	4741
1618	20095	4729
1619	20108	4716
1620	20122	4704
1621	20135	4692
1622	20151	4681
1623	20164	4668
1624	20178	4656
1625	20192	4644
1626	20205	4632
1627	20217	4619
1628	20230	4607
1629	20244	4595
1630	20260	4583
1631	20274	4571
1632	20288	4559
1633	20303	4547
1634	20319	4536
1635	20336	4524
1636	20353	4513
1637	20368	4501
1638	20381	4489
1639	20396	4477
1640	20409	4464
1641	20422	4452
1642	20436	4440
1643	20451	4428
1644	20466	4416
1645	20479	4404
1646	20493	4392
1647	20507	4380
1648	20521	4368
1649	20533	4355
1650	20545	4343
1651	20558	4330
1652	20571	4318
1653	20583	4305
1654	20597	4293
1655	20609	4281
1656	20621	4268
1657	20635	4256
1658	20649	4244
1659	20665	4232
1660	20679	4220
1661	20693	4208
1662	20708	4196
1663	20721	4184
1664	20733	4171
1665	20746	4159
1666	20759	4146
1667	20773	4134
1668	20786	4122
1669	20798	4109
1670	20811	4097
1671	20822	4084
