iter	Logloss
0	0.6638592925
1	0.636707517
2	0.611639995
3	0.5890829809
4	0.5700005773
5	0.5527108753
6	0.5369613958
7	0.5229904234
8	0.509565515
9	0.497882246
10	0.4869568923
11	0.4771000516
12	0.4686957736
13	0.4607062227
14	0.4536070417
15	0.4465840766
16	0.4403166994
17	0.4342690561
18	0.4292580954
19	0.4246362422
20	0.420414603
21	0.4165616719
22	0.4126786844
23	0.4094854737
24	0.4063844251
25	0.403495044
26	0.4011244497
27	0.3987810542
28	0.3964845549
29	0.3942834508
30	0.3925231882
31	0.3905909702
32	0.3888132726
33	0.3871940897
34	0.3857736977
35	0.3842698545
36	0.382997956
37	0.3818771749
38	0.3806501418
39	0.3795657418
40	0.3784777296
41	0.3774197504
42	0.3764974221
43	0.3756199201
44	0.3750005154
45	0.3741283796
46	0.3733817357
47	0.3727850913
48	0.372154686
49	0.3714301481
50	0.3707331032
51	0.3700908614
52	0.3693857753
53	0.3687600178
54	0.3681409846
55	0.3675960437
56	0.3671061285
57	0.3666741702
58	0.3661393508
59	0.3657635845
60	0.3654303235
61	0.3650441514
62	0.3646447801
63	0.3642456952
64	0.3638943092
65	0.3635885759
66	0.3631925669
67	0.3628685195
68	0.3625717618
69	0.3622371082
70	0.3619041974
71	0.3616708521
72	0.3614761706
73	0.3611923832
74	0.3608842304
75	0.3606443575
76	0.3604924191
77	0.3602162223
78	0.3599431281
79	0.3597464511
80	0.3594980335
81	0.3591146588
82	0.358879651
83	0.3586418172
84	0.3584322916
85	0.3582705953
86	0.3580291288
87	0.357807644
88	0.3575618259
89	0.3573738154
90	0.3572152832
91	0.3570427534
92	0.3568058144
93	0.3566588243
94	0.356344359
95	0.3561516754
96	0.3559232122
97	0.3557287224
98	0.3554729583
99	0.3552337264
100	0.3550313405
101	0.3548051432
102	0.3545891859
103	0.3544552209
104	0.3542690087
105	0.3540471306
106	0.353909206
107	0.3536991258
108	0.3535414398
109	0.3533765877
110	0.3532474597
111	0.353066979
112	0.3528967123
113	0.3527947421
114	0.352665793
115	0.3525345478
116	0.3523784567
117	0.3522441126
118	0.3521318806
119	0.3519694894
120	0.3517332428
121	0.3516120016
122	0.3514204381
123	0.3512925443
124	0.3511648091
125	0.3510262225
126	0.350892475
127	0.3507952139
128	0.3506851314
129	0.3505295033
130	0.350349607
131	0.3502553857
132	0.3501479409
133	0.350062119
134	0.3499642118
135	0.3498453535
136	0.3497616354
137	0.3496270443
138	0.3494393257
139	0.349305453
140	0.3492009466
141	0.3490914886
142	0.3489578133
143	0.3488507425
144	0.3487117466
145	0.3485444778
146	0.3484504987
147	0.3482731132
148	0.3481726652
149	0.3480336056
150	0.3479361921
151	0.3478018348
152	0.3477024963
153	0.3475921562
154	0.3474790573
155	0.3473663681
156	0.3472787
157	0.3471647968
158	0.3470132201
159	0.3468968758
160	0.3467909931
161	0.3466627863
162	0.3465567342
163	0.3464314448
164	0.3462561696
165	0.3461743453
166	0.346088645
167	0.345995705
168	0.3457967474
169	0.3456591173
170	0.3455460648
171	0.3454880419
172	0.345358006
173	0.3452425026
174	0.3451746282
175	0.3450815531
176	0.3450261343
177	0.3449098384
178	0.3448244189
179	0.3447186499
180	0.3446485816
181	0.344587749
182	0.3444869904
183	0.344388498
184	0.3442840962
185	0.3441862499
186	0.3441182814
187	0.3439814659
188	0.3439155886
189	0.3438127106
190	0.3437338796
191	0.3436571064
192	0.3435699673
193	0.3434745634
194	0.3433465667
195	0.3432698251
196	0.3431931254
197	0.3431059034
198	0.343023407
199	0.3429432016
200	0.3428347412
201	0.3427309912
202	0.3426328963
203	0.3425103375
204	0.3424212188
205	0.3423349413
206	0.3422631643
207	0.3421966827
208	0.3420801603
209	0.3419914165
210	0.3418944745
211	0.3418112137
212	0.3417181738
213	0.3416414205
214	0.341554503
215	0.3414503872
216	0.3413641834
217	0.341277839
218	0.3412076428
219	0.3411192106
220	0.3410360877
221	0.3409342042
222	0.3408512331
223	0.3407586356
224	0.3406929416
225	0.3406268251
226	0.3405419958
227	0.3404666234
228	0.3403711418
229	0.3402803041
230	0.3401695163
231	0.3401063884
232	0.3399946847
233	0.3399247545
234	0.3398295498
235	0.3397901251
236	0.3397146312
237	0.3396431167
238	0.3395707844
239	0.3394953033
240	0.3394013198
241	0.3393103138
242	0.3391945674
243	0.3391152934
244	0.3390477876
245	0.3389744805
246	0.33890106
247	0.3387696217
248	0.338695308
249	0.3386154878
250	0.3385616564
251	0.3385131114
252	0.3384293374
253	0.3383772456
254	0.3382949512
255	0.3382377504
256	0.3381999936
257	0.3381167701
258	0.3379897011
259	0.3379098856
260	0.3378490959
261	0.3377593371
262	0.3376948887
263	0.3376372855
264	0.3375708572
265	0.3375139419
266	0.3374392825
267	0.3373741824
268	0.3373163593
269	0.3372096083
270	0.3371158214
271	0.3370572269
272	0.336952418
273	0.3368846858
274	0.336755127
275	0.3366690446
276	0.3366097377
277	0.3365270428
278	0.3364529011
279	0.3363744449
280	0.3363088705
281	0.336206406
282	0.3361121781
283	0.3360373084
284	0.3359702197
285	0.3359073814
286	0.3358451529
287	0.3357711505
288	0.3356649528
289	0.3355678495
290	0.3355012278
291	0.3354039137
292	0.335351066
293	0.3352928761
294	0.3352168766
295	0.3351328721
296	0.3350749304
297	0.33502495
298	0.3349521511
299	0.3348888389
300	0.3348145126
301	0.3347449297
302	0.3346859404
303	0.3346016993
304	0.3345368379
305	0.3344433623
306	0.334384052
307	0.3342907041
308	0.3342012856
309	0.334124845
310	0.3340576467
311	0.3339900624
312	0.3339028877
